transientid,ML_PROB
59050.705791013206_DM_25.48_beam_29C_frbid.hdf5,1.0
59050.706218789695_DM_25.79_beam_3C_frbid.hdf5,1.0
59050.706218839805_DM_25.48_beam_329C_frbid.hdf5,1.0
59050.729155098896_DM_144.60_beam_340C_frbid.hdf5,0.99999964
59050.7292275234_DM_144.29_beam_0I_frbid.hdf5,1.0
59050.7293037238_DM_144.29_beam_0I_frbid.hdf5,0.9999974
59050.7312270396_DM_170.69_beam_49C_frbid.hdf5,0.9999994
59050.73123698401_DM_170.69_beam_49C_frbid.hdf5,1.0
59050.7313669919_DM_171.31_beam_330C_frbid.hdf5,0.99999976
59050.731382109196_DM_265.25_beam_253C_frbid.hdf5,1.0
59050.7313970537_DM_171.00_beam_335C_frbid.hdf5,0.99998975
59050.7314170457_DM_170.69_beam_322C_frbid.hdf5,0.9999981
59050.7314170569_DM_170.69_beam_346C_frbid.hdf5,1.0
59050.731417073606_DM_170.08_beam_269C_frbid.hdf5,1.0
59050.7314970833_DM_170.69_beam_24C_frbid.hdf5,1.0
59050.7315571206_DM_170.69_beam_335C_frbid.hdf5,0.9999999
59050.731557129_DM_170.69_beam_57C_frbid.hdf5,1.0
59050.7316271358_DM_171.00_beam_57C_frbid.hdf5,1.0
59050.7316371248_DM_171.00_beam_57C_frbid.hdf5,1.0
59050.7316471054_DM_171.61_beam_273C_frbid.hdf5,1.0
59050.73164712769_DM_170.69_beam_297C_frbid.hdf5,0.99999976
59050.7317071567_DM_171.00_beam_322C_frbid.hdf5,0.99999976
59050.7317071567_DM_171.00_beam_86C_frbid.hdf5,1.0
59050.731717168_DM_170.69_beam_109C_frbid.hdf5,0.9999988
59050.731717184695_DM_169.46_beam_375C_frbid.hdf5,1.0
59050.7317272212_DM_170.69_beam_363C_frbid.hdf5,1.0
59050.73174716019_DM_171.31_beam_29C_frbid.hdf5,1.0
59050.731747188_DM_170.38_beam_330C_frbid.hdf5,1.0
59050.731877195896_DM_172.23_beam_359C_frbid.hdf5,1.0
59050.7318772293_DM_170.38_beam_315C_frbid.hdf5,0.9999999
59050.7318772349_DM_170.38_beam_29C_frbid.hdf5,1.0
59050.732007337596_DM_171.31_beam_57C_frbid.hdf5,1.0
59050.7320073655_DM_171.00_beam_92C_frbid.hdf5,1.0
59050.732027329504_DM_169.46_beam_234C_frbid.hdf5,1.0
